Mar  1 14:06:10 cs219-laptop kernel: [  163.064430] rraa: 06:20:a6:57:ff:32 : tx_count: 15556, tx_rate: 18M, loss ratio: 13, window size: 20
Mar  1 14:06:10 cs219-laptop kernel: [  163.066118] rraa: 06:20:a6:57:ff:32 : tx_count: 15576, tx_rate: 24M, loss ratio: 9, window size: 40
Mar  1 14:06:10 cs219-laptop kernel: [  163.068989] rraa: 06:20:a6:57:ff:32 : tx_count: 15616, tx_rate: 36M, loss ratio: 6, window size: 40
Mar  1 14:06:10 cs219-laptop kernel: [  163.071346] rraa: 06:20:a6:57:ff:32 : tx_count: 15656, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 14:06:10 cs219-laptop kernel: [  163.073090] rraa: 06:20:a6:57:ff:32 : tx_count: 15696, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:10 cs219-laptop kernel: [  163.104294] rraa: 06:20:a6:57:ff:32 : tx_count: 16336, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 14:06:10 cs219-laptop kernel: [  163.106056] rraa: 06:20:a6:57:ff:32 : tx_count: 16376, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:11 cs219-laptop kernel: [  163.148422] rraa: 06:20:a6:57:ff:32 : tx_count: 17256, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 14:06:11 cs219-laptop kernel: [  163.154698] rraa: 06:20:a6:57:ff:32 : tx_count: 17376, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 14:06:13 cs219-laptop kernel: [  163.336711] rraa: 06:20:a6:57:ff:32 : tx_count: 19856, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 14:06:13 cs219-laptop kernel: [  163.340786] rraa: 06:20:a6:57:ff:32 : tx_count: 19936, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:13 cs219-laptop kernel: [  163.418018] rraa: 06:20:a6:57:ff:32 : tx_count: 20696, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 14:06:13 cs219-laptop kernel: [  163.419798] rraa: 06:20:a6:57:ff:32 : tx_count: 20736, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 14:06:14 cs219-laptop kernel: [  163.496352] rraa: 06:20:a6:57:ff:32 : tx_count: 21776, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 14:06:14 cs219-laptop kernel: [  163.509336] rraa: 06:20:a6:57:ff:32 : tx_count: 21896, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 14:06:14 cs219-laptop kernel: [  163.541414] rraa: 06:20:a6:57:ff:32 : tx_count: 22216, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 14:06:15 cs219-laptop kernel: [  163.552645] rraa: 06:20:a6:57:ff:32 : tx_count: 22336, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 14:06:15 cs219-laptop kernel: [  163.580148] rraa: 06:20:a6:57:ff:32 : tx_count: 22696, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 14:06:15 cs219-laptop kernel: [  163.584858] rraa: 06:20:a6:57:ff:32 : tx_count: 22736, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 14:06:16 cs219-laptop kernel: [  163.743207] rraa: 06:20:a6:57:ff:32 : tx_count: 24536, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 14:06:16 cs219-laptop kernel: [  163.747874] rraa: 06:20:a6:57:ff:32 : tx_count: 24616, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:18 cs219-laptop kernel: [  163.957596] rraa: 06:20:a6:57:ff:32 : tx_count: 27136, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 14:06:18 cs219-laptop kernel: [  163.963858] rraa: 06:20:a6:57:ff:32 : tx_count: 27256, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:18 cs219-laptop kernel: [  164.035042] rraa: 06:20:a6:57:ff:32 : tx_count: 27936, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 14:06:18 cs219-laptop kernel: [  164.043530] rraa: 06:20:a6:57:ff:32 : tx_count: 28016, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:19 cs219-laptop kernel: [  164.118289] rraa: 06:20:a6:57:ff:32 : tx_count: 28936, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 14:06:19 cs219-laptop kernel: [  164.124931] rraa: 06:20:a6:57:ff:32 : tx_count: 28976, tx_rate: 36M, loss ratio: 31, window size: 40
Mar  1 14:06:19 cs219-laptop kernel: [  164.127361] rraa: 06:20:a6:57:ff:32 : tx_count: 29016, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 14:06:19 cs219-laptop kernel: [  164.129308] rraa: 06:20:a6:57:ff:32 : tx_count: 29056, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 14:06:19 cs219-laptop kernel: [  164.170681] rraa: 06:20:a6:57:ff:32 : tx_count: 29496, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 14:06:20 cs219-laptop kernel: [  164.176465] rraa: 06:20:a6:57:ff:32 : tx_count: 29576, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 14:06:20 cs219-laptop kernel: [  164.203093] rraa: 06:20:a6:57:ff:32 : tx_count: 29896, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 14:06:20 cs219-laptop kernel: [  164.205102] rraa: 06:20:a6:57:ff:32 : tx_count: 29936, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 14:06:21 cs219-laptop kernel: [  164.348250] rraa: 06:20:a6:57:ff:32 : tx_count: 31736, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 14:06:21 cs219-laptop kernel: [  164.352574] rraa: 06:20:a6:57:ff:32 : tx_count: 31816, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 14:06:22 cs219-laptop kernel: [  164.498701] rraa: 06:20:a6:57:ff:32 : tx_count: 33616, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 14:06:22 cs219-laptop kernel: [  164.500828] rraa: 06:20:a6:57:ff:32 : tx_count: 33656, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:23 cs219-laptop kernel: [  164.540819] rraa: 06:20:a6:57:ff:32 : tx_count: 34176, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 14:06:23 cs219-laptop kernel: [  164.548398] rraa: 06:20:a6:57:ff:32 : tx_count: 34296, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 14:06:23 cs219-laptop kernel: [  164.562902] rraa: 06:20:a6:57:ff:32 : tx_count: 34496, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 14:06:23 cs219-laptop kernel: [  164.564791] rraa: 06:20:a6:57:ff:32 : tx_count: 34536, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 14:06:33 cs219-laptop kernel: [  165.127285] rraa: 06:20:a6:57:ff:32 : tx_count: 38616, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 14:06:33 cs219-laptop kernel: [  165.129080] rraa: 06:20:a6:57:ff:32 : tx_count: 38656, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 14:06:33 cs219-laptop kernel: [  165.153759] rraa: 06:20:a6:57:ff:32 : tx_count: 38919, tx_rate: 48M, loss ratio: 89, window size: 40
Mar  1 14:06:33 cs219-laptop kernel: [  165.171684] rraa: 06:20:a6:57:ff:32 : tx_count: 38919, tx_rate: 36M, loss ratio: 100, window size: 40
Mar  1 14:06:34 cs219-laptop kernel: [  165.183670] rraa: 06:20:a6:57:ff:32 : tx_count: 38919, tx_rate: 24M, loss ratio: 100, window size: 40
Mar  1 14:06:34 cs219-laptop kernel: [  165.192314] rraa: 06:20:a6:57:ff:32 : tx_count: 38919, tx_rate: 18M, loss ratio: 100, window size: 20
Mar  1 14:06:34 cs219-laptop kernel: [  165.195543] rraa: 06:20:a6:57:ff:32 : tx_count: 38919, tx_rate: 12M, loss ratio: 100, window size: 20
Mar  1 14:06:34 cs219-laptop kernel: [  165.200062] rraa: 06:20:a6:57:ff:32 : tx_count: 38919, tx_rate: 11M, loss ratio: 100, window size: 15
Mar  1 14:06:35 cs219-laptop kernel: [  165.205650] rraa: 06:20:a6:57:ff:32 : tx_count: 38919, tx_rate: 9M, loss ratio: 100, window size: 10
Mar  1 14:06:35 cs219-laptop kernel: [  165.208586] rraa: 06:20:a6:57:ff:32 : tx_count: 38919, tx_rate: 6M, loss ratio: 100, window size: 6
Mar  1 14:06:35 cs219-laptop kernel: [  165.211060] rraa: 06:20:a6:57:ff:32 : tx_count: 38919, tx_rate: 5M, loss ratio: 100, window size: 6
Mar  1 14:06:35 cs219-laptop kernel: [  165.212591] rraa: 06:20:a6:57:ff:32 : tx_count: 38919, tx_rate: 2M, loss ratio: 100, window size: 6
Mar  1 14:06:35 cs219-laptop kernel: [  165.215871] rraa: 06:20:a6:57:ff:32 : tx_count: 38919, tx_rate: 1M, loss ratio: 100, window size: 6
Mar  1 14:06:37 cs219-laptop kernel: [  165.249551] rraa: 06:20:a6:57:ff:32 : tx_count: 38930, tx_rate: 2M, loss ratio: 33, window size: 6
Mar  1 14:06:37 cs219-laptop kernel: [  165.251589] rraa: 06:20:a6:57:ff:32 : tx_count: 38936, tx_rate: 1M, loss ratio: 53, window size: 6
Mar  1 14:06:37 cs219-laptop kernel: [  165.254939] rraa: 06:20:a6:57:ff:32 : tx_count: 38942, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 14:06:38 cs219-laptop kernel: [  165.292578] rraa: 06:20:a6:57:ff:32 : tx_count: 38943, tx_rate: 1M, loss ratio: 98, window size: 6
Mar  1 14:06:44 cs219-laptop kernel: [  165.414185] rraa: 06:20:a6:57:ff:32 : tx_count: 38960, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 14:06:44 cs219-laptop kernel: [  165.417890] rraa: 06:20:a6:57:ff:32 : tx_count: 38966, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 14:06:44 cs219-laptop kernel: [  165.417917] rraa: 06:20:a6:57:ff:32 : tx_count: 38972, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 14:06:44 cs219-laptop kernel: [  165.419598] rraa: 06:20:a6:57:ff:32 : tx_count: 38978, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 14:06:44 cs219-laptop kernel: [  165.422380] rraa: 06:20:a6:57:ff:32 : tx_count: 38988, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 14:06:45 cs219-laptop kernel: [  165.426901] rraa: 06:20:a6:57:ff:32 : tx_count: 39003, tx_rate: 12M, loss ratio: 6, window size: 20
Mar  1 14:06:45 cs219-laptop kernel: [  165.428288] rraa: 06:20:a6:57:ff:32 : tx_count: 39023, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 14:06:45 cs219-laptop kernel: [  165.430605] rraa: 06:20:a6:57:ff:32 : tx_count: 39043, tx_rate: 24M, loss ratio: 9, window size: 40
Mar  1 14:06:45 cs219-laptop kernel: [  165.432854] rraa: 06:20:a6:57:ff:32 : tx_count: 39083, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  1 14:06:45 cs219-laptop kernel: [  165.438500] rraa: 06:20:a6:57:ff:32 : tx_count: 39163, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 14:06:45 cs219-laptop kernel: [  165.440343] rraa: 06:20:a6:57:ff:32 : tx_count: 39203, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 14:06:46 cs219-laptop kernel: [  165.579563] rraa: 06:20:a6:57:ff:32 : tx_count: 40883, tx_rate: 48M, loss ratio: 20, window size: 40
