Mar  1 19:38:04 cs219-laptop kernel: [   26.000393] rraa: 06:20:a6:57:ff:32 : tx_count: 11410, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:38:04 cs219-laptop kernel: [   26.072217] rraa: 06:20:a6:57:ff:32 : tx_count: 11970, tx_rate: 48M, loss ratio: 24, window size: 40
Mar  1 19:38:04 cs219-laptop kernel: [   26.078778] rraa: 06:20:a6:57:ff:32 : tx_count: 12010, tx_rate: 36M, loss ratio: 36, window size: 40
Mar  1 19:38:04 cs219-laptop kernel: [   26.112162] rraa: 06:20:a6:57:ff:32 : tx_count: 12090, tx_rate: 24M, loss ratio: 36, window size: 40
Mar  1 19:38:04 cs219-laptop kernel: [   26.117670] rraa: 06:20:a6:57:ff:32 : tx_count: 12130, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 19:38:04 cs219-laptop kernel: [   26.123083] rraa: 06:20:a6:57:ff:32 : tx_count: 12170, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 19:38:04 cs219-laptop kernel: [   26.128850] rraa: 06:20:a6:57:ff:32 : tx_count: 12210, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:05 cs219-laptop kernel: [   26.234388] rraa: 06:20:a6:57:ff:32 : tx_count: 13090, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:38:05 cs219-laptop kernel: [   26.238612] rraa: 06:20:a6:57:ff:32 : tx_count: 13130, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:38:05 cs219-laptop kernel: [   26.255757] rraa: 06:20:a6:57:ff:32 : tx_count: 13250, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 19:38:05 cs219-laptop kernel: [   26.259654] rraa: 06:20:a6:57:ff:32 : tx_count: 13290, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:05 cs219-laptop kernel: [   26.329625] rraa: 06:20:a6:57:ff:32 : tx_count: 13970, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:38:06 cs219-laptop kernel: [   26.377283] rraa: 06:20:a6:57:ff:32 : tx_count: 14290, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:06 cs219-laptop kernel: [   26.402437] rraa: 06:20:a6:57:ff:32 : tx_count: 14450, tx_rate: 48M, loss ratio: 21, window size: 40
Mar  1 19:38:06 cs219-laptop kernel: [   26.410824] rraa: 06:20:a6:57:ff:32 : tx_count: 14530, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:06 cs219-laptop kernel: [   26.445390] rraa: 06:20:a6:57:ff:32 : tx_count: 14850, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:38:06 cs219-laptop kernel: [   26.452783] rraa: 06:20:a6:57:ff:32 : tx_count: 14930, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:38:07 cs219-laptop kernel: [   26.469411] rraa: 06:20:a6:57:ff:32 : tx_count: 15090, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:38:07 cs219-laptop kernel: [   26.473951] rraa: 06:20:a6:57:ff:32 : tx_count: 15130, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:07 cs219-laptop kernel: [   26.478296] rraa: 06:20:a6:57:ff:32 : tx_count: 15170, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:07 cs219-laptop kernel: [   26.497038] rraa: 06:20:a6:57:ff:32 : tx_count: 15290, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:07 cs219-laptop kernel: [   26.504922] rraa: 06:20:a6:57:ff:32 : tx_count: 15370, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:07 cs219-laptop kernel: [   26.508992] rraa: 06:20:a6:57:ff:32 : tx_count: 15410, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:07 cs219-laptop kernel: [   26.565823] rraa: 06:20:a6:57:ff:32 : tx_count: 15970, tx_rate: 48M, loss ratio: 11, window size: 40
