Mar  1 13:03:04 cs219-laptop kernel: [   37.655958] rraa: 06:20:a6:57:ff:32 : tx_count: 17544, tx_rate: 48M, loss ratio: 90, window size: 40
Mar  1 13:03:04 cs219-laptop kernel: [   37.666759] rraa: 06:20:a6:57:ff:32 : tx_count: 17544, tx_rate: 36M, loss ratio: 100, window size: 40
Mar  1 13:03:05 cs219-laptop kernel: [   37.679056] rraa: 06:20:a6:57:ff:32 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar  1 13:03:05 cs219-laptop kernel: [   37.683045] rraa: 06:20:a6:57:ff:32 : tx_count: 32, tx_rate: 36M, loss ratio: 75, window size: 40
Mar  1 13:03:05 cs219-laptop kernel: [   37.687415] rraa: 06:20:a6:57:ff:32 : tx_count: 72, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 13:03:05 cs219-laptop kernel: [   37.689273] rraa: 06:20:a6:57:ff:32 : tx_count: 112, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:05 cs219-laptop kernel: [   37.705833] rraa: 06:20:a6:57:ff:32 : tx_count: 352, tx_rate: 48M, loss ratio: 100, window size: 40
Mar  1 13:03:05 cs219-laptop kernel: [   37.711741] rraa: 06:20:a6:57:ff:32 : tx_count: 352, tx_rate: 36M, loss ratio: 100, window size: 40
Mar  1 13:03:06 cs219-laptop kernel: [   37.717645] rraa: 06:20:a6:57:ff:32 : tx_count: 352, tx_rate: 24M, loss ratio: 100, window size: 40
Mar  1 13:03:06 cs219-laptop kernel: [   37.729496] rraa: 06:20:a6:57:ff:32 : tx_count: 352, tx_rate: 18M, loss ratio: 100, window size: 20
Mar  1 13:03:06 cs219-laptop kernel: [   37.733528] rraa: 06:20:a6:57:ff:32 : tx_count: 352, tx_rate: 12M, loss ratio: 100, window size: 20
Mar  1 13:03:06 cs219-laptop kernel: [   37.737850] rraa: 06:20:a6:57:ff:32 : tx_count: 352, tx_rate: 11M, loss ratio: 100, window size: 15
Mar  1 13:03:06 cs219-laptop kernel: [   37.741611] rraa: 06:20:a6:57:ff:32 : tx_count: 352, tx_rate: 9M, loss ratio: 100, window size: 10
Mar  1 13:03:07 cs219-laptop kernel: [   37.743950] rraa: 06:20:a6:57:ff:32 : tx_count: 352, tx_rate: 6M, loss ratio: 100, window size: 6
Mar  1 13:03:07 cs219-laptop kernel: [   37.744980] rraa: 06:20:a6:57:ff:32 : tx_count: 352, tx_rate: 5M, loss ratio: 100, window size: 6
Mar  1 13:03:07 cs219-laptop kernel: [   37.748089] rraa: 06:20:a6:57:ff:32 : tx_count: 352, tx_rate: 2M, loss ratio: 100, window size: 6
Mar  1 13:03:07 cs219-laptop kernel: [   37.751561] rraa: 06:20:a6:57:ff:32 : tx_count: 352, tx_rate: 1M, loss ratio: 100, window size: 6
Mar  1 13:03:08 cs219-laptop kernel: [   37.790692] rraa: 06:20:a6:57:ff:32 : tx_count: 364, tx_rate: 2M, loss ratio: 33, window size: 6
Mar  1 13:03:08 cs219-laptop kernel: [   37.792538] rraa: 06:20:a6:57:ff:32 : tx_count: 367, tx_rate: 1M, loss ratio: 93, window size: 6
Mar  1 13:03:15 cs219-laptop kernel: [   37.922543] rraa: 06:20:a6:57:ff:32 : tx_count: 382, tx_rate: 2M, loss ratio: 33, window size: 6
Mar  1 13:03:15 cs219-laptop kernel: [   37.923972] rraa: 06:20:a6:57:ff:32 : tx_count: 388, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 13:03:15 cs219-laptop kernel: [   37.925940] rraa: 06:20:a6:57:ff:32 : tx_count: 394, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 13:03:15 cs219-laptop kernel: [   37.925965] rraa: 06:20:a6:57:ff:32 : tx_count: 400, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 13:03:15 cs219-laptop kernel: [   37.928582] rraa: 06:20:a6:57:ff:32 : tx_count: 410, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 13:03:16 cs219-laptop kernel: [   37.932957] rraa: 06:20:a6:57:ff:32 : tx_count: 425, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 13:03:16 cs219-laptop kernel: [   37.935332] rraa: 06:20:a6:57:ff:32 : tx_count: 445, tx_rate: 18M, loss ratio: 16, window size: 20
Mar  1 13:03:16 cs219-laptop kernel: [   37.940657] rraa: 06:20:a6:57:ff:32 : tx_count: 465, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  1 13:03:16 cs219-laptop kernel: [   37.944632] rraa: 06:20:a6:57:ff:32 : tx_count: 505, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 13:03:16 cs219-laptop kernel: [   37.946663] rraa: 06:20:a6:57:ff:32 : tx_count: 545, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 13:03:16 cs219-laptop kernel: [   37.948753] rraa: 06:20:a6:57:ff:32 : tx_count: 585, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:03:16 cs219-laptop kernel: [   37.976417] rraa: 06:20:a6:57:ff:32 : tx_count: 1145, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 13:03:16 cs219-laptop kernel: [   37.986084] rraa: 06:20:a6:57:ff:32 : tx_count: 1265, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:03:17 cs219-laptop kernel: [   38.093641] rraa: 06:20:a6:57:ff:32 : tx_count: 2545, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:03:17 cs219-laptop kernel: [   38.104823] rraa: 06:20:a6:57:ff:32 : tx_count: 2585, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:18 cs219-laptop kernel: [   38.317633] rraa: 06:20:a6:57:ff:32 : tx_count: 4865, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:03:19 cs219-laptop kernel: [   38.319754] rraa: 06:20:a6:57:ff:32 : tx_count: 4905, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:19 cs219-laptop kernel: [   38.322065] rraa: 06:20:a6:57:ff:32 : tx_count: 4945, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 13:03:19 cs219-laptop kernel: [   38.331561] rraa: 06:20:a6:57:ff:32 : tx_count: 5065, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 13:03:20 cs219-laptop kernel: [   38.487180] rraa: 06:20:a6:57:ff:32 : tx_count: 6625, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 13:03:20 cs219-laptop kernel: [   38.497694] rraa: 06:20:a6:57:ff:32 : tx_count: 6705, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:20 cs219-laptop kernel: [   38.582218] rraa: 06:20:a6:57:ff:32 : tx_count: 7625, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:03:20 cs219-laptop kernel: [   38.597466] rraa: 06:20:a6:57:ff:32 : tx_count: 7785, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:20 cs219-laptop kernel: [   38.606663] rraa: 06:20:a6:57:ff:32 : tx_count: 7865, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:03:20 cs219-laptop kernel: [   38.616851] rraa: 06:20:a6:57:ff:32 : tx_count: 8025, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:21 cs219-laptop kernel: [   38.641697] rraa: 06:20:a6:57:ff:32 : tx_count: 8385, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 13:03:21 cs219-laptop kernel: [   38.647491] rraa: 06:20:a6:57:ff:32 : tx_count: 8505, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:03:21 cs219-laptop kernel: [   38.738978] rraa: 06:20:a6:57:ff:32 : tx_count: 9425, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:03:28 cs219-laptop kernel: [   39.073719] rraa: 06:20:a6:57:ff:32 : tx_count: 9585, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 13:03:29 cs219-laptop kernel: [   39.110548] rraa: 06:20:a6:57:ff:32 : tx_count: 9825, tx_rate: 48M, loss ratio: 11, window size: 40
