Mar 10 20:44:15 cs219-laptop kernel: [ 1061.441957] rraa: 06:20:a6:57:ff:32 : tx_count: 915, tx_rate: 2M, loss ratio: 33, window size: 6
Mar 10 20:44:15 cs219-laptop kernel: [ 1061.445589] rraa: 06:20:a6:57:ff:32 : tx_count: 921, tx_rate: 1M, loss ratio: 53, window size: 6
Mar 10 20:44:16 cs219-laptop kernel: [ 1061.500684] rraa: 06:20:a6:57:ff:32 : tx_count: 945, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 20:44:16 cs219-laptop kernel: [ 1061.502799] rraa: 06:20:a6:57:ff:32 : tx_count: 951, tx_rate: 5M, loss ratio: 0, window size: 6
Mar 10 20:44:16 cs219-laptop kernel: [ 1061.509025] rraa: 06:20:a6:57:ff:32 : tx_count: 957, tx_rate: 6M, loss ratio: 33, window size: 6
Mar 10 20:44:16 cs219-laptop kernel: [ 1061.512120] rraa: 06:20:a6:57:ff:32 : tx_count: 963, tx_rate: 5M, loss ratio: 40, window size: 6
Mar 10 20:44:16 cs219-laptop kernel: [ 1061.513838] rraa: 06:20:a6:57:ff:32 : tx_count: 969, tx_rate: 6M, loss ratio: 14, window size: 6
Mar 10 20:44:16 cs219-laptop kernel: [ 1061.529495] rraa: 06:20:a6:57:ff:32 : tx_count: 975, tx_rate: 5M, loss ratio: 40, window size: 6
Mar 10 20:44:16 cs219-laptop kernel: [ 1061.532572] rraa: 06:20:a6:57:ff:32 : tx_count: 981, tx_rate: 2M, loss ratio: 53, window size: 6
Mar 10 20:44:17 cs219-laptop kernel: [ 1061.538929] rraa: 06:20:a6:57:ff:32 : tx_count: 987, tx_rate: 5M, loss ratio: 33, window size: 6
Mar 10 20:44:17 cs219-laptop kernel: [ 1061.541171] rraa: 06:20:a6:57:ff:32 : tx_count: 993, tx_rate: 6M, loss ratio: 25, window size: 6
Mar 10 20:44:17 cs219-laptop kernel: [ 1061.543604] rraa: 06:20:a6:57:ff:32 : tx_count: 999, tx_rate: 5M, loss ratio: 40, window size: 6
Mar 10 20:44:17 cs219-laptop kernel: [ 1061.545567] rraa: 00:12:f0:98:26:43 : tx_count: 78, tx_rate: 12M, loss ratio: 95, window size: 20
Mar 10 20:44:17 cs219-laptop kernel: [ 1061.545603] rraa: 06:20:a6:57:ff:32 : tx_count: 1005, tx_rate: 2M, loss ratio: 64, window size: 6
Mar 10 20:44:17 cs219-laptop kernel: [ 1061.549841] rraa: 06:20:a6:57:ff:32 : tx_count: 1011, tx_rate: 1M, loss ratio: 45, window size: 6
Mar 10 20:44:17 cs219-laptop kernel: [ 1061.551405] rraa: 06:20:a6:57:ff:32 : tx_count: 1023, tx_rate: 2M, loss ratio: 33, window size: 6
Mar 10 20:44:17 cs219-laptop kernel: [ 1061.552012] rraa: 06:20:a6:57:ff:32 : tx_count: 1029, tx_rate: 1M, loss ratio: 40, window size: 6
Mar 10 20:44:17 cs219-laptop kernel: [ 1061.554223] rraa: 06:20:a6:57:ff:32 : tx_count: 1035, tx_rate: 2M, loss ratio: 25, window size: 6
Mar 10 20:44:17 cs219-laptop kernel: [ 1061.555505] rraa: 06:20:a6:57:ff:32 : tx_count: 1041, tx_rate: 1M, loss ratio: 40, window size: 6
Mar 10 20:44:17 cs219-laptop kernel: [ 1061.560056] rraa: 06:20:a6:57:ff:32 : tx_count: 1053, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 20:44:17 cs219-laptop kernel: [ 1061.561353] rraa: 06:20:a6:57:ff:32 : tx_count: 1059, tx_rate: 5M, loss ratio: 33, window size: 6
Mar 10 20:44:18 cs219-laptop kernel: [ 1061.564746] rraa: 06:20:a6:57:ff:32 : tx_count: 1065, tx_rate: 6M, loss ratio: 0, window size: 6
Mar 10 20:44:18 cs219-laptop kernel: [ 1061.564786] rraa: 06:20:a6:57:ff:32 : tx_count: 1071, tx_rate: 9M, loss ratio: 14, window size: 10
Mar 10 20:44:18 cs219-laptop kernel: [ 1061.568367] rraa: 06:20:a6:57:ff:32 : tx_count: 1081, tx_rate: 11M, loss ratio: 9, window size: 15
Mar 10 20:44:18 cs219-laptop kernel: [ 1061.578093] rraa: 06:20:a6:57:ff:32 : tx_count: 1109, tx_rate: 9M, loss ratio: 75, window size: 10
Mar 10 20:44:18 cs219-laptop kernel: [ 1061.580041] rraa: 06:20:a6:57:ff:32 : tx_count: 1119, tx_rate: 6M, loss ratio: 41, window size: 6
Mar 10 20:44:18 cs219-laptop kernel: [ 1061.580904] rraa: 06:20:a6:57:ff:32 : tx_count: 1125, tx_rate: 5M, loss ratio: 60, window size: 6
Mar 10 20:44:18 cs219-laptop kernel: [ 1061.582828] rraa: 06:20:a6:57:ff:32 : tx_count: 1131, tx_rate: 2M, loss ratio: 66, window size: 6
Mar 10 20:44:18 cs219-laptop kernel: [ 1061.583779] rraa: 06:20:a6:57:ff:32 : tx_count: 1137, tx_rate: 5M, loss ratio: 14, window size: 6
Mar 10 20:44:18 cs219-laptop kernel: [ 1061.584448] rraa: 06:20:a6:57:ff:32 : tx_count: 1143, tx_rate: 6M, loss ratio: 25, window size: 6
Mar 10 20:44:18 cs219-laptop kernel: [ 1061.585262] rraa: 06:20:a6:57:ff:32 : tx_count: 1149, tx_rate: 9M, loss ratio: 0, window size: 10
Mar 10 20:44:18 cs219-laptop kernel: [ 1061.590541] rraa: 06:20:a6:57:ff:32 : tx_count: 1169, tx_rate: 6M, loss ratio: 41, window size: 6
Mar 10 20:44:18 cs219-laptop kernel: [ 1061.591778] rraa: 06:20:a6:57:ff:32 : tx_count: 1175, tx_rate: 9M, loss ratio: 14, window size: 10
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.601343] rraa: 06:20:a6:57:ff:32 : tx_count: 1195, tx_rate: 6M, loss ratio: 56, window size: 6
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.601374] rraa: 06:20:a6:57:ff:32 : tx_count: 1201, tx_rate: 5M, loss ratio: 40, window size: 6
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.603361] rraa: 06:20:a6:57:ff:32 : tx_count: 1207, tx_rate: 2M, loss ratio: 40, window size: 6
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.603886] rraa: 06:20:a6:57:ff:32 : tx_count: 1213, tx_rate: 5M, loss ratio: 25, window size: 6
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.604540] rraa: 06:20:a6:57:ff:32 : tx_count: 1219, tx_rate: 6M, loss ratio: 33, window size: 6
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.605228] rraa: 06:20:a6:57:ff:32 : tx_count: 1225, tx_rate: 9M, loss ratio: 14, window size: 10
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.609265] rraa: 06:20:a6:57:ff:32 : tx_count: 1245, tx_rate: 11M, loss ratio: 0, window size: 15
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.616342] rraa: 06:20:a6:57:ff:32 : tx_count: 1288, tx_rate: 9M, loss ratio: 68, window size: 10
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.618000] rraa: 06:20:a6:57:ff:32 : tx_count: 1298, tx_rate: 11M, loss ratio: 0, window size: 15
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.619540] rraa: 06:20:a6:57:ff:32 : tx_count: 1313, tx_rate: 12M, loss ratio: 6, window size: 20
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.622785] rraa: 06:20:a6:57:ff:32 : tx_count: 1333, tx_rate: 11M, loss ratio: 50, window size: 15
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.624311] rraa: 06:20:a6:57:ff:32 : tx_count: 1348, tx_rate: 9M, loss ratio: 55, window size: 10
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.628797] rraa: 06:20:a6:57:ff:32 : tx_count: 1386, tx_rate: 6M, loss ratio: 80, window size: 6
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.630430] rraa: 06:20:a6:57:ff:32 : tx_count: 1392, tx_rate: 5M, loss ratio: 60, window size: 6
Mar 10 20:44:19 cs219-laptop kernel: [ 1061.631415] rraa: 06:20:a6:57:ff:32 : tx_count: 1398, tx_rate: 6M, loss ratio: 33, window size: 6
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.632468] rraa: 06:20:a6:57:ff:32 : tx_count: 1404, tx_rate: 5M, loss ratio: 50, window size: 6
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.633310] rraa: 06:20:a6:57:ff:32 : tx_count: 1410, tx_rate: 2M, loss ratio: 57, window size: 6
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.635539] rraa: 06:20:a6:57:ff:32 : tx_count: 1416, tx_rate: 5M, loss ratio: 25, window size: 6
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.638909] rraa: 06:20:a6:57:ff:32 : tx_count: 1422, tx_rate: 6M, loss ratio: 14, window size: 6
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.640146] rraa: 06:20:a6:57:ff:32 : tx_count: 1428, tx_rate: 5M, loss ratio: 45, window size: 6
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.641279] rraa: 06:20:a6:57:ff:32 : tx_count: 1434, tx_rate: 6M, loss ratio: 25, window size: 6
Mar 10 20:44:20 cs219-laptop kernel: [ 1061.642140] rraa: 06:20:a6:57:ff:32 : tx_count: 1440, tx_rate: 9M, loss ratio: 0, window size: 10
