Mar  7 17:08:40 cs219-laptop kernel: [ 1049.580005] rraa: 06:20:a6:57:ff:32 : tx_count: 522, tx_rate: 36M, loss ratio: 16, window size: 40
Mar  7 17:08:40 cs219-laptop kernel: [ 1050.036319] rraa: 06:20:a6:57:ff:32 : tx_count: 562, tx_rate: 24M, loss ratio: 42, window size: 40
Mar  7 17:08:41 cs219-laptop kernel: [ 1050.475602] rraa: 06:20:a6:57:ff:32 : tx_count: 602, tx_rate: 18M, loss ratio: 42, window size: 20
Mar  7 17:08:42 cs219-laptop kernel: [ 1051.609091] rraa: 06:20:a6:57:ff:32 : tx_count: 702, tx_rate: 24M, loss ratio: 9, window size: 40
Mar  7 17:08:42 cs219-laptop kernel: [ 1052.044750] rraa: 06:20:a6:57:ff:32 : tx_count: 742, tx_rate: 36M, loss ratio: 9, window size: 40
Mar  7 17:08:45 cs219-laptop kernel: [ 1054.286390] rraa: 06:20:a6:57:ff:32 : tx_count: 942, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:08:45 cs219-laptop kernel: [ 1054.734778] rraa: 06:20:a6:57:ff:32 : tx_count: 967, tx_rate: 36M, loss ratio: 90, window size: 40
Mar  7 17:08:46 cs219-laptop kernel: [ 1055.631364] rraa: 06:20:a6:57:ff:32 : tx_count: 1047, tx_rate: 24M, loss ratio: 47, window size: 40
Mar  7 17:08:47 cs219-laptop kernel: [ 1056.528016] rraa: 06:20:a6:57:ff:32 : tx_count: 1127, tx_rate: 36M, loss ratio: 4, window size: 40
Mar  7 17:08:47 cs219-laptop kernel: [ 1056.977194] rraa: 06:20:a6:57:ff:32 : tx_count: 1160, tx_rate: 24M, loss ratio: 83, window size: 40
Mar  7 17:08:48 cs219-laptop kernel: [ 1057.872992] rraa: 06:20:a6:57:ff:32 : tx_count: 1240, tx_rate: 36M, loss ratio: 4, window size: 40
Mar  7 17:08:50 cs219-laptop kernel: [ 1059.217976] rraa: 06:20:a6:57:ff:32 : tx_count: 1360, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  7 17:08:50 cs219-laptop kernel: [ 1059.666304] rraa: 06:20:a6:57:ff:32 : tx_count: 1373, tx_rate: 36M, loss ratio: 96, window size: 40
Mar  7 17:08:51 cs219-laptop kernel: [ 1060.562964] rraa: 06:20:a6:57:ff:32 : tx_count: 1453, tx_rate: 24M, loss ratio: 42, window size: 40
