Mar 10 19:06:51 cs219-laptop kernel: [  295.115399] rraa: 06:20:a6:57:ff:32 : tx_count: 2379, tx_rate: 54M, loss ratio: 4, window size: 40
Mar 10 19:06:51 cs219-laptop kernel: [  295.118573] rraa: 06:20:a6:57:ff:32 : tx_count: 2419, tx_rate: 48M, loss ratio: 16, window size: 40
Mar 10 19:06:52 cs219-laptop kernel: [  295.121433] rraa: 06:20:a6:57:ff:32 : tx_count: 2459, tx_rate: 36M, loss ratio: 25, window size: 40
Mar 10 19:06:52 cs219-laptop kernel: [  295.127797] rraa: 06:20:a6:57:ff:32 : tx_count: 2494, tx_rate: 24M, loss ratio: 70, window size: 40
Mar 10 19:06:52 cs219-laptop kernel: [  295.131976] rraa: 06:20:a6:57:ff:32 : tx_count: 2533, tx_rate: 18M, loss ratio: 45, window size: 20
Mar 10 19:06:52 cs219-laptop kernel: [  295.134607] rraa: 06:20:a6:57:ff:32 : tx_count: 2573, tx_rate: 24M, loss ratio: 4, window size: 40
Mar 10 19:06:52 cs219-laptop kernel: [  295.147302] rraa: 00:12:f0:98:26:43 : tx_count: 74, tx_rate: 2M, loss ratio: 14, window size: 6
Mar 10 19:06:52 cs219-laptop kernel: [  295.189332] rraa: 06:20:a6:57:ff:32 : tx_count: 2813, tx_rate: 18M, loss ratio: 36, window size: 20
Mar 10 19:06:52 cs219-laptop kernel: [  295.190531] rraa: 06:20:a6:57:ff:32 : tx_count: 2833, tx_rate: 24M, loss ratio: 9, window size: 40
Mar 10 19:06:53 cs219-laptop kernel: [  295.195138] rraa: 06:20:a6:57:ff:32 : tx_count: 2873, tx_rate: 36M, loss ratio: 16, window size: 40
Mar 10 19:06:53 cs219-laptop kernel: [  295.238737] rraa: 06:20:a6:57:ff:32 : tx_count: 2993, tx_rate: 24M, loss ratio: 36, window size: 40
Mar 10 19:06:53 cs219-laptop kernel: [  295.253015] rraa: 06:20:a6:57:ff:32 : tx_count: 3073, tx_rate: 18M, loss ratio: 36, window size: 20
Mar 10 19:06:53 cs219-laptop kernel: [  295.253610] rraa: 00:12:f0:98:26:43 : tx_count: 75, tx_rate: 1M, loss ratio: 98, window size: 6
Mar 10 19:06:54 cs219-laptop kernel: [  295.267552] rraa: 06:20:a6:57:ff:32 : tx_count: 3213, tx_rate: 12M, loss ratio: 48, window size: 20
Mar 10 19:06:54 cs219-laptop kernel: [  295.271036] rraa: 06:20:a6:57:ff:32 : tx_count: 3233, tx_rate: 11M, loss ratio: 50, window size: 15
Mar 10 19:06:54 cs219-laptop kernel: [  295.277309] rraa: 00:0f:3d:ad:94:27 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 10 19:06:54 cs219-laptop kernel: [  295.279538] rraa: 06:20:a6:57:ff:32 : tx_count: 3263, tx_rate: 9M, loss ratio: 46, window size: 10
