Mar 13 23:04:53 cs219-laptop kernel: [  435.723162] rraa: 00:25:00:15:13:72 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 13 23:04:53 cs219-laptop kernel: [  435.728738] rraa: 06:20:a6:57:ff:32 : tx_count: 3120, tx_rate: 48M, loss ratio: 11, window size: 40
Mar 13 23:04:54 cs219-laptop kernel: [  435.745602] rraa: 06:20:a6:57:ff:32 : tx_count: 3238, tx_rate: 36M, loss ratio: 46, window size: 40
Mar 13 23:04:54 cs219-laptop kernel: [  435.750858] rraa: 06:20:a6:57:ff:32 : tx_count: 3276, tx_rate: 24M, loss ratio: 50, window size: 40
Mar 13 23:04:54 cs219-laptop kernel: [  435.753468] rraa: 06:20:a6:57:ff:32 : tx_count: 3316, tx_rate: 36M, loss ratio: 6, window size: 40
Mar 13 23:04:54 cs219-laptop kernel: [  435.758226] rraa: 06:20:a6:57:ff:32 : tx_count: 3354, tx_rate: 24M, loss ratio: 40, window size: 40
Mar 13 23:04:54 cs219-laptop kernel: [  435.760249] rraa: 06:20:a6:57:ff:32 : tx_count: 3394, tx_rate: 36M, loss ratio: 11, window size: 40
Mar 13 23:04:54 cs219-laptop kernel: [  435.767551] rraa: 06:20:a6:57:ff:32 : tx_count: 3474, tx_rate: 24M, loss ratio: 35, window size: 40
Mar 13 23:04:54 cs219-laptop kernel: [  435.808832] rraa: 06:20:a6:57:ff:32 : tx_count: 3514, tx_rate: 36M, loss ratio: 14, window size: 40
Mar 13 23:04:54 cs219-laptop kernel: [  435.843322] rraa: 06:20:a6:57:ff:32 : tx_count: 3554, tx_rate: 48M, loss ratio: 6, window size: 40
Mar 13 23:04:55 cs219-laptop kernel: [  435.851419] rraa: 06:20:a6:57:ff:32 : tx_count: 3634, tx_rate: 36M, loss ratio: 44, window size: 40
Mar 13 23:04:55 cs219-laptop kernel: [  435.870397] rraa: 06:20:a6:57:ff:32 : tx_count: 3674, tx_rate: 24M, loss ratio: 37, window size: 40
Mar 13 23:04:55 cs219-laptop kernel: [  435.877115] rraa: 06:20:a6:57:ff:32 : tx_count: 3754, tx_rate: 36M, loss ratio: 13, window size: 40
Mar 13 23:04:55 cs219-laptop kernel: [  435.880472] rraa: 06:20:a6:57:ff:32 : tx_count: 3794, tx_rate: 48M, loss ratio: 11, window size: 40
Mar 13 23:04:55 cs219-laptop kernel: [  435.885774] rraa: 06:20:a6:57:ff:32 : tx_count: 3834, tx_rate: 36M, loss ratio: 32, window size: 40
Mar 13 23:04:55 cs219-laptop kernel: [  435.894919] rraa: 06:20:a6:57:ff:32 : tx_count: 3870, tx_rate: 24M, loss ratio: 67, window size: 40
Mar 13 23:04:55 cs219-laptop kernel: [  435.899760] rraa: 06:20:a6:57:ff:32 : tx_count: 3950, tx_rate: 36M, loss ratio: 14, window size: 40
Mar 13 23:04:56 cs219-laptop kernel: [  435.902764] rraa: 06:20:a6:57:ff:32 : tx_count: 3990, tx_rate: 48M, loss ratio: 4, window size: 40
Mar 13 23:04:56 cs219-laptop kernel: [  435.925312] rraa: 06:20:a6:57:ff:32 : tx_count: 4029, tx_rate: 36M, loss ratio: 48, window size: 40
Mar 13 23:04:56 cs219-laptop kernel: [  435.929002] rraa: 00:1f:e2:95:9f:0f : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 13 23:04:56 cs219-laptop kernel: [  435.929011] rraa: 00:1f:3b:a7:ef:05 : tx_count: 0, tx_rate: 48M, loss ratio: 100, window size: 40
Mar 13 23:04:56 cs219-laptop kernel: [  435.971909] rraa: 06:20:a6:57:ff:32 : tx_count: 4149, tx_rate: 24M, loss ratio: 47, window size: 40
Mar 13 23:04:56 cs219-laptop kernel: [  435.978157] rraa: 06:20:a6:57:ff:32 : tx_count: 4229, tx_rate: 36M, loss ratio: 13, window size: 40
Mar 13 23:04:56 cs219-laptop kernel: [  435.986279] rraa: 06:20:a6:57:ff:32 : tx_count: 4309, tx_rate: 48M, loss ratio: 4, window size: 40
Mar 13 23:04:56 cs219-laptop kernel: [  435.988292] rraa: 06:20:a6:57:ff:32 : tx_count: 4349, tx_rate: 54M, loss ratio: 2, window size: 40
Mar 13 23:04:56 cs219-laptop kernel: [  435.990380] rraa: 06:20:a6:57:ff:32 : tx_count: 4389, tx_rate: 48M, loss ratio: 14, window size: 40
Mar 13 23:04:57 cs219-laptop kernel: [  435.997939] rraa: 06:20:a6:57:ff:32 : tx_count: 4423, tx_rate: 36M, loss ratio: 69, window size: 40
Mar 13 23:04:57 cs219-laptop kernel: [  436.009651] rraa: 06:20:a6:57:ff:32 : tx_count: 4457, tx_rate: 24M, loss ratio: 71, window size: 40
Mar 13 23:04:57 cs219-laptop kernel: [  436.014082] rraa: 06:20:a6:57:ff:32 : tx_count: 4474, tx_rate: 18M, loss ratio: 93, window size: 20
Mar 13 23:04:57 cs219-laptop kernel: [  436.019038] rraa: 06:20:a6:57:ff:32 : tx_count: 4474, tx_rate: 12M, loss ratio: 100, window size: 20
Mar 13 23:04:57 cs219-laptop kernel: [  436.022174] rraa: 06:20:a6:57:ff:32 : tx_count: 4491, tx_rate: 11M, loss ratio: 71, window size: 15
Mar 13 23:04:57 cs219-laptop kernel: [  436.022943] rraa: 06:20:a6:57:ff:32 : tx_count: 4506, tx_rate: 12M, loss ratio: 11, window size: 20
Mar 13 23:04:58 cs219-laptop kernel: [  436.027685] rraa: 06:20:a6:57:ff:32 : tx_count: 4522, tx_rate: 11M, loss ratio: 75, window size: 15
Mar 13 23:04:58 cs219-laptop kernel: [  436.034839] rraa: 06:20:a6:57:ff:32 : tx_count: 4522, tx_rate: 9M, loss ratio: 100, window size: 10
Mar 13 23:04:58 cs219-laptop kernel: [  436.053200] rraa: 06:20:a6:57:ff:32 : tx_count: 4522, tx_rate: 6M, loss ratio: 100, window size: 6
Mar 13 23:04:58 cs219-laptop kernel: [  436.055509] rraa: 06:20:a6:57:ff:32 : tx_count: 4522, tx_rate: 5M, loss ratio: 100, window size: 6
Mar 13 23:04:58 cs219-laptop kernel: [  436.061363] rraa: 06:20:a6:57:ff:32 : tx_count: 4522, tx_rate: 2M, loss ratio: 100, window size: 6
Mar 13 23:04:58 cs219-laptop kernel: [  436.065554] rraa: 06:20:a6:57:ff:32 : tx_count: 4522, tx_rate: 1M, loss ratio: 100, window size: 6
Mar 13 23:05:08 cs219-laptop kernel: [  436.370947] rraa: 06:20:a6:57:ff:32 : tx_count: 4534, tx_rate: 2M, loss ratio: 33, window size: 6
Mar 13 23:05:08 cs219-laptop kernel: [  436.403533] rraa: 06:20:a6:57:ff:32 : tx_count: 4540, tx_rate: 5M, loss ratio: 25, window size: 6
Mar 13 23:05:08 cs219-laptop kernel: [  436.429872] rraa: 06:20:a6:57:ff:32 : tx_count: 4546, tx_rate: 6M, loss ratio: 25, window size: 6
Mar 13 23:05:08 cs219-laptop kernel: [  436.436569] rraa: 06:20:a6:57:ff:32 : tx_count: 4552, tx_rate: 9M, loss ratio: 0, window size: 10
Mar 13 23:05:08 cs219-laptop kernel: [  436.481076] rraa: 06:20:a6:57:ff:32 : tx_count: 4562, tx_rate: 11M, loss ratio: 9, window size: 15
Mar 13 23:05:09 cs219-laptop kernel: [  436.511592] rraa: 00:12:f0:98:10:f5 : tx_count: 25, tx_rate: 36M, loss ratio: 89, window size: 40
Mar 13 23:05:09 cs219-laptop kernel: [  436.563268] rraa: 06:20:a6:57:ff:32 : tx_count: 4577, tx_rate: 12M, loss ratio: 0, window size: 20
