Mar  1 19:48:58 cs219-laptop kernel: [   87.041389] rraac1: 06:20:a6:57:ff:32 : tx_count: 10547, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:48:58 cs219-laptop kernel: [   87.050701] rraac1: 06:20:a6:57:ff:32 : tx_count: 10627, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:58 cs219-laptop kernel: [   87.087417] rraac1: 06:20:a6:57:ff:32 : tx_count: 10947, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:48:58 cs219-laptop kernel: [   87.096657] rraac1: 06:20:a6:57:ff:32 : tx_count: 10987, tx_rate: 36M, loss ratio: 27, window size: 40
Mar  1 19:48:58 cs219-laptop kernel: [   87.113416] rraac1: 06:20:a6:57:ff:32 : tx_count: 11107, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 19:48:58 cs219-laptop kernel: [   87.125831] rraac1: 06:20:a6:57:ff:32 : tx_count: 11227, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:58 cs219-laptop kernel: [   87.137879] rraac1: 06:20:a6:57:ff:32 : tx_count: 11347, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:48:59 cs219-laptop kernel: [   87.151060] rraac1: 06:20:a6:57:ff:32 : tx_count: 11467, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:59 cs219-laptop kernel: [   87.155025] rraac1: 06:20:a6:57:ff:32 : tx_count: 11507, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:48:59 cs219-laptop kernel: [   87.178483] rraac1: 06:20:a6:57:ff:32 : tx_count: 11667, tx_rate: 36M, loss ratio: 35, window size: 40
Mar  1 19:48:59 cs219-laptop kernel: [   87.184493] rraac1: 06:20:a6:57:ff:32 : tx_count: 11707, tx_rate: 24M, loss ratio: 40, window size: 40
Mar  1 19:48:59 cs219-laptop kernel: [   87.193300] rraac1: 06:20:a6:57:ff:32 : tx_count: 11787, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  1 19:48:59 cs219-laptop kernel: [   87.198815] rraac1: 06:20:a6:57:ff:32 : tx_count: 11827, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 19:48:59 cs219-laptop kernel: [   87.216777] rraac1: 06:20:a6:57:ff:32 : tx_count: 11987, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:48:59 cs219-laptop kernel: [   87.229486] rraac1: 06:20:a6:57:ff:32 : tx_count: 12107, tx_rate: 48M, loss ratio: 13, window size: 40
