Mar  1 20:26:31 cs219-laptop kernel: [  274.964037] rraa: 06:20:a6:57:ff:32 : tx_count: 3315, tx_rate: 48M, loss ratio: 35, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.976840] rraa: 06:20:a6:57:ff:32 : tx_count: 3435, tx_rate: 36M, loss ratio: 28, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.981718] rraa: 06:20:a6:57:ff:32 : tx_count: 3475, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 20:26:31 cs219-laptop kernel: [  274.994152] rraa: 06:20:a6:57:ff:32 : tx_count: 3595, tx_rate: 36M, loss ratio: 29, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.012891] rraa: 06:20:a6:57:ff:32 : tx_count: 3715, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.023411] rraa: 06:20:a6:57:ff:32 : tx_count: 3795, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.031677] rraa: 06:20:a6:57:ff:32 : tx_count: 3875, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.040032] rraa: 06:20:a6:57:ff:32 : tx_count: 3955, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.064943] rraa: 06:20:a6:57:ff:32 : tx_count: 4195, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.073562] rraa: 06:20:a6:57:ff:32 : tx_count: 4275, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.083167] rraa: 06:20:a6:57:ff:32 : tx_count: 4355, tx_rate: 48M, loss ratio: 27, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.092252] rraa: 06:20:a6:57:ff:32 : tx_count: 4435, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.105089] rraa: 06:20:a6:57:ff:32 : tx_count: 4555, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.109298] rraa: 06:20:a6:57:ff:32 : tx_count: 4595, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.135723] rraa: 06:20:a6:57:ff:32 : tx_count: 4755, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 20:26:32 cs219-laptop kernel: [  275.141189] rraa: 06:20:a6:57:ff:32 : tx_count: 4795, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:33 cs219-laptop kernel: [  275.157841] rraa: 06:20:a6:57:ff:32 : tx_count: 4955, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 20:26:33 cs219-laptop kernel: [  275.161734] rraa: 06:20:a6:57:ff:32 : tx_count: 4995, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:26:33 cs219-laptop kernel: [  275.174234] rraa: 06:20:a6:57:ff:32 : tx_count: 5115, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:26:33 cs219-laptop kernel: [  275.185878] rraa: 06:20:a6:57:ff:32 : tx_count: 5189, tx_rate: 36M, loss ratio: 72, window size: 40
Mar  1 20:26:33 cs219-laptop kernel: [  275.197634] rraa: 06:20:a6:57:ff:32 : tx_count: 5268, tx_rate: 24M, loss ratio: 55, window size: 40
Mar  1 20:26:33 cs219-laptop kernel: [  275.208903] rraa: 06:20:a6:57:ff:32 : tx_count: 5308, tx_rate: 18M, loss ratio: 32, window size: 20
Mar  1 20:26:33 cs219-laptop kernel: [  275.213550] rraa: 06:20:a6:57:ff:32 : tx_count: 5328, tx_rate: 24M, loss ratio: 4, window size: 40
Mar  1 20:26:33 cs219-laptop kernel: [  275.219510] rraa: 06:20:a6:57:ff:32 : tx_count: 5368, tx_rate: 36M, loss ratio: 6, window size: 40
Mar  1 20:26:33 cs219-laptop kernel: [  275.229739] rraa: 06:20:a6:57:ff:32 : tx_count: 5448, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 20:26:33 cs219-laptop kernel: [  275.243168] rraa: 06:20:a6:57:ff:32 : tx_count: 5568, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:33 cs219-laptop kernel: [  275.255163] rraa: 06:20:a6:57:ff:32 : tx_count: 5688, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:33 cs219-laptop kernel: [  275.259136] rraa: 06:20:a6:57:ff:32 : tx_count: 5728, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:33 cs219-laptop kernel: [  275.267589] rraa: 06:20:a6:57:ff:32 : tx_count: 5808, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:26:33 cs219-laptop kernel: [  275.273595] rraa: 06:20:a6:57:ff:32 : tx_count: 5848, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:26:34 cs219-laptop kernel: [  275.303646] rraa: 06:20:a6:57:ff:32 : tx_count: 6128, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:26:34 cs219-laptop kernel: [  275.320769] rraa: 06:20:a6:57:ff:32 : tx_count: 6288, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:26:34 cs219-laptop kernel: [  275.336309] rraa: 06:20:a6:57:ff:32 : tx_count: 6408, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:26:34 cs219-laptop kernel: [  275.342272] rraa: 06:20:a6:57:ff:32 : tx_count: 6448, tx_rate: 36M, loss ratio: 28, window size: 40
Mar  1 20:26:34 cs219-laptop kernel: [  275.346473] rraa: 06:20:a6:57:ff:32 : tx_count: 6488, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 20:26:34 cs219-laptop kernel: [  275.356495] rraa: 06:20:a6:57:ff:32 : tx_count: 6568, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:34 cs219-laptop kernel: [  275.373091] rraa: 06:20:a6:57:ff:32 : tx_count: 6728, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:26:34 cs219-laptop kernel: [  275.376939] rraa: 06:20:a6:57:ff:32 : tx_count: 6768, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:26:34 cs219-laptop kernel: [  275.385007] rraa: 06:20:a6:57:ff:32 : tx_count: 6848, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:26:34 cs219-laptop kernel: [  275.423010] rraa: 06:20:a6:57:ff:32 : tx_count: 7088, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:26:35 cs219-laptop kernel: [  275.438822] rraa: 06:20:a6:57:ff:32 : tx_count: 7168, tx_rate: 48M, loss ratio: 11, window size: 40
