Mar  7 17:20:46 cs219-laptop kernel: [ 1374.701092] rraac4: 06:20:a6:57:ff:32 : tx_count: 4408, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:20:48 cs219-laptop kernel: [ 1376.495145] rraac4: 06:20:a6:57:ff:32 : tx_count: 4568, tx_rate: 36M, loss ratio: 55, window size: 40
Mar  7 17:21:03 cs219-laptop kernel: [ 1386.500769] rraac4: 06:20:a6:57:ff:32 : tx_count: 5447, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:21:03 cs219-laptop kernel: [ 1386.949094] rraac4: 06:20:a6:57:ff:32 : tx_count: 5486, tx_rate: 36M, loss ratio: 64, window size: 40
Mar  7 17:21:07 cs219-laptop kernel: [ 1390.535712] rraac4: 06:20:a6:57:ff:32 : tx_count: 5793, tx_rate: 24M, loss ratio: 88, window size: 40
Mar  7 17:21:10 cs219-laptop kernel: [ 1393.674000] rraac4: 06:20:a6:57:ff:32 : tx_count: 6073, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  7 17:21:12 cs219-laptop kernel: [ 1395.467307] rraac4: 06:20:a6:57:ff:32 : tx_count: 6233, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:21:12 cs219-laptop kernel: [ 1395.915896] rraac4: 06:20:a6:57:ff:32 : tx_count: 6266, tx_rate: 36M, loss ratio: 84, window size: 40
Mar  7 17:21:16 cs219-laptop kernel: [ 1399.950577] rraac4: 06:20:a6:57:ff:32 : tx_count: 6626, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:21:17 cs219-laptop kernel: [ 1400.398904] rraac4: 06:20:a6:57:ff:32 : tx_count: 6662, tx_rate: 36M, loss ratio: 74, window size: 40
Mar  7 17:21:21 cs219-laptop kernel: [ 1404.883319] rraac4: 06:20:a6:57:ff:32 : tx_count: 7062, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:21:22 cs219-laptop kernel: [ 1405.330498] rraac4: 06:20:a6:57:ff:32 : tx_count: 7094, tx_rate: 36M, loss ratio: 85, window size: 40
Mar  7 17:21:23 cs219-laptop kernel: [ 1407.126179] rraac4: 06:20:a6:57:ff:32 : tx_count: 7253, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:21:24 cs219-laptop kernel: [ 1407.572468] rraac4: 06:20:a6:57:ff:32 : tx_count: 7291, tx_rate: 36M, loss ratio: 57, window size: 40
Mar  7 17:21:46 cs219-laptop kernel: [ 1425.177074] rraac4: 06:20:a6:57:ff:32 : tx_count: 8844, tx_rate: 24M, loss ratio: 65, window size: 40
Mar  7 17:21:47 cs219-laptop kernel: [ 1425.618988] rraac4: 06:20:a6:57:ff:32 : tx_count: 8884, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  7 17:21:47 cs219-laptop kernel: [ 1426.067313] rraac4: 06:20:a6:57:ff:32 : tx_count: 8924, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:21:48 cs219-laptop kernel: [ 1426.515639] rraac4: 06:20:a6:57:ff:32 : tx_count: 8933, tx_rate: 36M, loss ratio: 97, window size: 40
Mar  7 17:21:53 cs219-laptop kernel: [ 1431.447236] rraac4: 06:20:a6:57:ff:32 : tx_count: 9372, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:21:53 cs219-laptop kernel: [ 1431.895562] rraac4: 06:20:a6:57:ff:32 : tx_count: 9401, tx_rate: 36M, loss ratio: 87, window size: 40
Mar  7 17:21:54 cs219-laptop kernel: [ 1432.792220] rraac4: 06:20:a6:57:ff:32 : tx_count: 9481, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  7 17:21:55 cs219-laptop kernel: [ 1433.271260] rraac4: 06:20:a6:57:ff:32 : tx_count: 9492, tx_rate: 36M, loss ratio: 96, window size: 40
Mar  7 17:21:55 cs219-laptop kernel: [ 1433.644036] rraac4: 06:20:a6:57:ff:32 : tx_count: 9500, tx_rate: 24M, loss ratio: 97, window size: 40
Mar  7 17:21:56 cs219-laptop kernel: [ 1434.318381] rraac4: 06:20:a6:57:ff:32 : tx_count: 9513, tx_rate: 18M, loss ratio: 95, window size: 20
Mar  7 17:21:56 cs219-laptop kernel: [ 1434.519505] rraac4: 06:20:a6:57:ff:32 : tx_count: 9513, tx_rate: 12M, loss ratio: 100, window size: 20
Mar  7 17:21:56 cs219-laptop kernel: [ 1434.821453] rraac4: 06:20:a6:57:ff:32 : tx_count: 9513, tx_rate: 11M, loss ratio: 100, window size: 15
Mar  7 17:21:56 cs219-laptop kernel: [ 1435.104058] rraac4: 06:20:a6:57:ff:32 : tx_count: 9513, tx_rate: 9M, loss ratio: 100, window size: 10
Mar  7 17:21:57 cs219-laptop kernel: [ 1435.273132] rraac4: 06:20:a6:57:ff:32 : tx_count: 9513, tx_rate: 6M, loss ratio: 100, window size: 6
Mar  7 17:21:57 cs219-laptop kernel: [ 1435.369266] rraac4: 06:20:a6:57:ff:32 : tx_count: 9513, tx_rate: 5M, loss ratio: 100, window size: 6
Mar  7 17:21:57 cs219-laptop kernel: [ 1435.517664] rraac4: 06:20:a6:57:ff:32 : tx_count: 9513, tx_rate: 2M, loss ratio: 100, window size: 6
Mar  7 17:21:57 cs219-laptop kernel: [ 1435.641133] rraac4: 06:20:a6:57:ff:32 : tx_count: 9513, tx_rate: 1M, loss ratio: 100, window size: 6
