output format
<time> <packet count> <tx rate>

17:34:15 715, 24M
17:34:15 716, 24M
17:34:15 717, 24M
17:34:15 718, 24M
17:34:15 719, 24M
17:34:15 720, 24M
17:34:15 721, 24M
17:34:15 722, 24M
17:34:15 723, 24M
17:34:15 724, 24M
17:34:15 725, 24M
17:34:15 726, 24M
17:34:15 727, 24M
17:34:15 728, 24M
17:34:15 729, 24M
17:34:15 730, 24M
17:34:15 731, 24M
17:34:15 732, 24M
17:34:15 733, 24M
17:34:15 734, 24M
17:34:15 735, 24M
17:34:15 736, 24M
17:34:15 737, 24M
17:34:15 738, 24M
17:34:15 739, 24M
17:34:15 740, 24M
17:34:15 741, 24M
17:34:15 742, 24M
17:34:15 743, 24M
17:34:15 744, 24M
17:34:15 745, 24M
17:34:15 746, 24M
17:34:15 747, 24M
17:34:15 748, 24M
17:34:15 749, 24M
17:34:15 750, 24M
17:34:15 751, 24M
17:34:15 752, 24M
17:34:15 753, 24M
17:34:15 754, 24M
17:34:15 755, 24M
17:34:15 756, 24M
17:34:15 757, 24M
17:34:15 758, 24M
17:34:15 759, 24M
17:34:15 760, 24M
17:34:15 761, 24M
17:34:15 762, 24M
17:34:15 763, 24M
17:34:15 764, 24M
17:34:15 765, 24M
17:34:15 766, 24M
17:34:15 767, 24M
17:34:15 768, 24M
17:34:15 769, 24M
17:34:15 770, 24M
17:34:15 771, 24M
17:34:15 772, 24M
17:34:15 773, 24M
17:34:15 774, 24M
17:34:15 775, 24M
17:34:15 776, 24M
17:34:15 777, 24M
17:34:15 778, 24M
17:34:15 779, 24M
17:34:15 780, 24M
17:34:15 781, 24M
17:34:15 782, 24M
17:34:15 783, 24M
17:34:15 784, 24M
17:34:15 785, 24M
17:34:15 786, 24M
17:34:15 787, 24M
17:34:15 788, 24M
17:34:15 789, 24M
17:34:15 790, 24M
17:34:15 791, 24M
17:34:15 792, 24M
17:34:15 793, 24M
17:34:15 794, 24M
17:34:15 795, 24M
17:34:15 796, 24M
17:34:15 797, 24M
17:34:15 798, 24M
17:34:15 799, 24M
17:34:15 800, 24M
17:34:15 801, 24M
17:34:15 802, 24M
17:34:15 803, 24M
17:34:15 804, 24M
17:34:15 805, 24M
17:34:15 806, 24M
17:34:15 807, 24M
17:34:15 808, 24M
17:34:15 809, 24M
17:34:15 810, 24M
17:34:15 811, 24M
17:34:15 812, 24M
17:34:15 813, 24M
17:34:15 814, 24M
17:34:15 815, 24M
17:34:15 816, 24M
17:34:15 817, 24M
17:34:15 818, 24M
17:34:15 819, 24M
17:34:15 820, 24M
17:34:15 821, 24M
17:34:15 822, 24M
17:34:15 823, 24M
17:34:15 824, 24M
17:34:15 825, 24M
17:34:15 826, 24M
17:34:15 827, 24M
17:34:15 828, 24M
17:34:15 829, 24M
17:34:15 830, 24M
17:34:15 831, 24M
17:34:15 832, 24M
17:34:15 833, 24M
17:34:15 834, 24M
17:34:15 835, 24M
17:34:15 836, 24M
17:34:15 837, 24M
17:34:15 838, 24M
17:34:15 839, 24M
17:34:15 840, 24M
17:34:15 841, 24M
17:34:15 842, 24M
17:34:15 843, 24M
17:34:15 844, 24M
17:34:15 845, 24M
17:34:15 846, 24M
17:34:15 847, 24M
17:34:15 848, 24M
17:34:15 849, 24M
17:34:15 850, 24M
17:34:15 851, 24M
17:34:15 852, 24M
17:34:15 853, 24M
17:34:15 854, 24M
17:34:15 855, 24M
17:34:15 856, 24M
17:34:15 857, 24M
17:34:15 858, 24M
17:34:15 859, 24M
17:34:15 860, 24M
17:34:15 861, 24M
17:34:15 862, 24M
17:34:15 863, 24M
17:34:15 864, 24M
17:34:15 865, 24M
17:34:15 866, 24M
17:34:15 867, 24M
17:34:15 868, 24M
17:34:15 869, 24M
17:34:15 870, 24M
17:34:15 871, 24M
17:34:15 872, 24M
17:34:15 873, 24M
17:34:15 874, 24M
17:34:15 875, 24M
17:34:15 876, 24M
17:34:15 877, 24M
17:34:15 878, 24M
17:34:15 879, 24M
17:34:15 880, 24M
17:34:15 881, 24M
17:34:15 882, 24M
17:34:15 883, 24M
17:34:15 884, 24M
17:34:15 885, 24M
17:34:15 886, 24M
17:34:15 887, 24M
17:34:15 888, 24M
17:34:15 889, 24M
17:34:15 890, 24M
17:34:15 891, 24M
17:34:15 892, 24M
17:34:15 893, 24M
17:34:15 894, 24M
17:34:15 895, 24M
17:34:15 896, 24M
17:34:15 897, 24M
17:34:15 898, 24M
17:34:15 899, 24M
17:34:15 900, 24M
17:34:15 901, 24M
17:34:15 902, 24M
17:34:15 903, 24M
17:34:15 904, 24M
17:34:15 905, 24M
17:34:15 906, 24M
17:34:15 907, 24M
17:34:15 908, 24M
17:34:15 909, 24M
17:34:15 910, 24M
17:34:15 911, 24M
17:34:15 912, 24M
17:34:15 913, 24M
17:34:15 914, 24M
17:34:15 915, 24M
17:34:15 916, 24M
17:34:15 917, 24M
17:34:15 918, 24M
17:34:15 919, 24M
17:34:15 920, 24M
17:34:15 921, 24M
