Mar 13 22:50:40 cs219-laptop kernel: [  381.512432] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 773
Mar 13 22:50:40 cs219-laptop kernel: [  381.512439] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 773
Mar 13 22:50:40 cs219-laptop kernel: [  381.513178] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 773
Mar 13 22:50:40 cs219-laptop kernel: [  381.513185] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 773
Mar 13 22:50:40 cs219-laptop kernel: [  381.514953] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 804
Mar 13 22:50:40 cs219-laptop kernel: [  381.514960] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 804
Mar 13 22:50:40 cs219-laptop kernel: [  381.518126] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 804
Mar 13 22:50:40 cs219-laptop kernel: [  381.522557] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 804
Mar 13 22:50:40 cs219-laptop kernel: [  381.523938] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 839
Mar 13 22:50:40 cs219-laptop kernel: [  381.523946] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 839
Mar 13 22:50:40 cs219-laptop kernel: [  381.525309] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 839
Mar 13 22:50:40 cs219-laptop kernel: [  381.525317] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 839
Mar 13 22:50:40 cs219-laptop kernel: [  381.525767] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 839
Mar 13 22:50:41 cs219-laptop kernel: [  381.602377] 00:12:f0:98:26:43 minstrel: tx_rate 1, packet_count 0
Mar 13 22:50:41 cs219-laptop kernel: [  381.602391] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 1002
Mar 13 22:50:41 cs219-laptop kernel: [  381.602410] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1002
Mar 13 22:50:41 cs219-laptop kernel: [  381.603542] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 1037
Mar 13 22:50:41 cs219-laptop kernel: [  381.603561] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1037
Mar 13 22:50:41 cs219-laptop kernel: [  381.603976] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 1037
Mar 13 22:50:41 cs219-laptop kernel: [  381.604887] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1037
Mar 13 22:50:41 cs219-laptop kernel: [  381.604895] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 1037
Mar 13 22:50:42 cs219-laptop kernel: [  381.612696] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1068
Mar 13 22:50:42 cs219-laptop kernel: [  381.612704] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 1068
Mar 13 22:50:42 cs219-laptop kernel: [  381.616784] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1068
Mar 13 22:50:42 cs219-laptop kernel: [  381.623126] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1134
Mar 13 22:50:42 cs219-laptop kernel: [  381.623418] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1134
Mar 13 22:50:42 cs219-laptop kernel: [  381.625843] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1169
Mar 13 22:50:42 cs219-laptop kernel: [  381.625851] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1169
Mar 13 22:50:42 cs219-laptop kernel: [  381.632764] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1235
Mar 13 22:50:42 cs219-laptop kernel: [  381.632773] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1235
Mar 13 22:50:42 cs219-laptop kernel: [  381.632793] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1235
Mar 13 22:50:42 cs219-laptop kernel: [  381.633517] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1266
Mar 13 22:50:42 cs219-laptop kernel: [  381.635444] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1266
Mar 13 22:50:42 cs219-laptop kernel: [  381.635452] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1266
Mar 13 22:50:43 cs219-laptop kernel: [  381.641357] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1332
Mar 13 22:50:43 cs219-laptop kernel: [  381.642012] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1332
Mar 13 22:50:43 cs219-laptop kernel: [  381.644876] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1367
Mar 13 22:50:43 cs219-laptop kernel: [  381.644884] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1367
Mar 13 22:50:43 cs219-laptop kernel: [  381.647094] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1367
Mar 13 22:50:43 cs219-laptop kernel: [  381.647101] 06:20:a6:57:ff:32 minstrel: tx_rate 24, packet_count 1367
