Mar 10 20:10:30 cs219-laptop kernel: [  806.058962] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 7047
Mar 10 20:10:30 cs219-laptop kernel: [  806.058970] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7047
Mar 10 20:10:30 cs219-laptop kernel: [  806.061518] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 7047
Mar 10 20:10:30 cs219-laptop kernel: [  806.061525] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7047
Mar 10 20:10:30 cs219-laptop kernel: [  806.064711] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 7047
Mar 10 20:10:30 cs219-laptop kernel: [  806.067389] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 7082
Mar 10 20:10:30 cs219-laptop kernel: [  806.067398] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 7082
Mar 10 20:10:30 cs219-laptop kernel: [  806.070867] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 7082
Mar 10 20:10:30 cs219-laptop kernel: [  806.070874] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 7082
Mar 10 20:10:30 cs219-laptop kernel: [  806.072973] 06:20:a6:57:ff:32 minstrel: tx_rate 11, packet_count 7082
Mar 10 20:10:30 cs219-laptop kernel: [  806.074711] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 7113
Mar 10 20:10:30 cs219-laptop kernel: [  806.074718] 06:20:a6:57:ff:32 minstrel: tx_rate 11, packet_count 7113
Mar 10 20:10:30 cs219-laptop kernel: [  806.075846] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 7113
Mar 10 20:10:30 cs219-laptop kernel: [  806.075853] 06:20:a6:57:ff:32 minstrel: tx_rate 11, packet_count 7113
Mar 10 20:10:30 cs219-laptop kernel: [  806.081945] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 7113
Mar 10 20:10:30 cs219-laptop kernel: [  806.091482] 06:20:a6:57:ff:32 minstrel: tx_rate 11, packet_count 7113
