Mar 10 19:02:19 cs219-laptop kernel: [  271.070205] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 452
Mar 10 19:02:19 cs219-laptop kernel: [  271.072930] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 452
Mar 10 19:02:19 cs219-laptop kernel: [  271.072937] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 452
Mar 10 19:02:19 cs219-laptop kernel: [  271.073553] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 452
Mar 10 19:02:19 cs219-laptop kernel: [  271.073559] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 452
Mar 10 19:02:19 cs219-laptop kernel: [  271.075156] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 487
Mar 10 19:02:19 cs219-laptop kernel: [  271.075164] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 487
Mar 10 19:02:19 cs219-laptop kernel: [  271.078753] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 487
Mar 10 19:02:19 cs219-laptop kernel: [  271.078764] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 487
Mar 10 19:02:19 cs219-laptop kernel: [  271.079482] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 518
Mar 10 19:02:19 cs219-laptop kernel: [  271.079490] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 518
Mar 10 19:02:19 cs219-laptop kernel: [  271.086852] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 584
Mar 10 19:02:19 cs219-laptop kernel: [  271.086859] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 584
Mar 10 19:02:19 cs219-laptop kernel: [  271.098237] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 619
Mar 10 19:02:19 cs219-laptop kernel: [  271.098252] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 619
Mar 10 19:02:19 cs219-laptop kernel: [  271.098262] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 619
Mar 10 19:02:19 cs219-laptop kernel: [  271.099389] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 619
Mar 10 19:02:19 cs219-laptop kernel: [  271.100501] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 619
Mar 10 19:02:19 cs219-laptop kernel: [  271.100508] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 619
Mar 10 19:02:19 cs219-laptop kernel: [  271.102420] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 650
Mar 10 19:02:19 cs219-laptop kernel: [  271.102428] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 650
Mar 10 19:02:19 cs219-laptop kernel: [  271.102434] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 650
Mar 10 19:02:19 cs219-laptop kernel: [  271.103623] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 650
Mar 10 19:02:19 cs219-laptop kernel: [  271.103634] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 650
Mar 10 19:02:19 cs219-laptop kernel: [  271.103640] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 650
Mar 10 19:02:19 cs219-laptop kernel: [  271.104129] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 650
Mar 10 19:02:19 cs219-laptop kernel: [  271.104136] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 650
Mar 10 19:02:19 cs219-laptop kernel: [  271.117362] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 711
Mar 10 19:02:19 cs219-laptop kernel: [  271.117370] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 711
Mar 10 19:02:19 cs219-laptop kernel: [  271.119842] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 711
Mar 10 19:02:19 cs219-laptop kernel: [  271.119849] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 711
Mar 10 19:02:20 cs219-laptop kernel: [  271.121561] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 711
Mar 10 19:02:20 cs219-laptop kernel: [  271.121568] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 711
Mar 10 19:02:20 cs219-laptop kernel: [  271.122297] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 711
Mar 10 19:02:20 cs219-laptop kernel: [  271.122304] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 711
Mar 10 19:02:20 cs219-laptop kernel: [  271.123447] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 745
Mar 10 19:02:20 cs219-laptop kernel: [  271.123454] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 745
Mar 10 19:02:20 cs219-laptop kernel: [  271.126148] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 777
Mar 10 19:02:20 cs219-laptop kernel: [  271.126156] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 777
Mar 10 19:02:20 cs219-laptop kernel: [  271.126638] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 777
Mar 10 19:02:20 cs219-laptop kernel: [  271.126646] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 777
Mar 10 19:02:20 cs219-laptop kernel: [  271.128070] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 777
Mar 10 19:02:20 cs219-laptop kernel: [  271.128077] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 777
Mar 10 19:02:20 cs219-laptop kernel: [  271.129969] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 811
Mar 10 19:02:20 cs219-laptop kernel: [  271.129976] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 811
Mar 10 19:02:20 cs219-laptop kernel: [  271.130601] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 811
Mar 10 19:02:20 cs219-laptop kernel: [  271.132862] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 843
Mar 10 19:02:20 cs219-laptop kernel: [  271.132869] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 843
Mar 10 19:02:20 cs219-laptop kernel: [  271.133978] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 843
Mar 10 19:02:20 cs219-laptop kernel: [  271.133985] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 843
Mar 10 19:02:20 cs219-laptop kernel: [  271.137281] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 843
Mar 10 19:02:20 cs219-laptop kernel: [  271.137289] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 843
Mar 10 19:02:20 cs219-laptop kernel: [  271.137295] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 843
Mar 10 19:02:20 cs219-laptop kernel: [  271.138529] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 843
Mar 10 19:02:20 cs219-laptop kernel: [  271.139092] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 843
Mar 10 19:02:20 cs219-laptop kernel: [  271.139098] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 843
Mar 10 19:02:20 cs219-laptop kernel: [  271.139104] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 843
Mar 10 19:02:20 cs219-laptop kernel: [  271.139794] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 877
Mar 10 19:02:20 cs219-laptop kernel: [  271.139812] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 877
Mar 10 19:02:20 cs219-laptop kernel: [  271.140283] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 877
Mar 10 19:02:20 cs219-laptop kernel: [  271.146300] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 909
Mar 10 19:02:20 cs219-laptop kernel: [  271.146308] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 909
Mar 10 19:02:20 cs219-laptop kernel: [  271.151966] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 909
Mar 10 19:02:20 cs219-laptop kernel: [  271.151975] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 909
Mar 10 19:02:20 cs219-laptop kernel: [  271.151984] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 909
Mar 10 19:02:20 cs219-laptop kernel: [  271.151994] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 909
Mar 10 19:02:20 cs219-laptop kernel: [  271.156405] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 943
Mar 10 19:02:20 cs219-laptop kernel: [  271.156417] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 943
Mar 10 19:02:20 cs219-laptop kernel: [  271.156980] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 943
Mar 10 19:02:20 cs219-laptop kernel: [  271.156987] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 943
Mar 10 19:02:20 cs219-laptop kernel: [  271.162797] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1009
Mar 10 19:02:20 cs219-laptop kernel: [  271.162805] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1009
Mar 10 19:02:20 cs219-laptop kernel: [  271.164000] 06:20:a6:57:ff:32 minstrel: tx_rate 5, packet_count 1009
Mar 10 19:02:20 cs219-laptop kernel: [  271.164007] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1009
Mar 10 19:02:20 cs219-laptop kernel: [  271.164013] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1009
Mar 10 19:02:21 cs219-laptop kernel: [  271.168664] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1041
Mar 10 19:02:21 cs219-laptop kernel: [  271.168671] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1041
Mar 10 19:02:21 cs219-laptop kernel: [  271.170160] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1041
Mar 10 19:02:21 cs219-laptop kernel: [  271.170167] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1041
Mar 10 19:02:21 cs219-laptop kernel: [  271.172816] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1075
Mar 10 19:02:21 cs219-laptop kernel: [  271.172823] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1075
Mar 10 19:02:21 cs219-laptop kernel: [  271.172832] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1075
Mar 10 19:02:21 cs219-laptop kernel: [  271.174161] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1075
Mar 10 19:02:21 cs219-laptop kernel: [  271.174179] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1075
Mar 10 19:02:21 cs219-laptop kernel: [  271.174656] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1075
Mar 10 19:02:21 cs219-laptop kernel: [  271.178248] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1107
Mar 10 19:02:21 cs219-laptop kernel: [  271.178256] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1107
Mar 10 19:02:21 cs219-laptop kernel: [  271.180235] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1107
Mar 10 19:02:21 cs219-laptop kernel: [  271.180242] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1107
Mar 10 19:02:21 cs219-laptop kernel: [  271.181847] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1107
Mar 10 19:02:21 cs219-laptop kernel: [  271.181855] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1107
Mar 10 19:02:21 cs219-laptop kernel: [  271.181861] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1107
Mar 10 19:02:21 cs219-laptop kernel: [  271.187270] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 1107
Mar 10 19:02:21 cs219-laptop kernel: [  271.187279] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1107
Mar 10 19:02:21 cs219-laptop kernel: [  271.192620] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 1173
Mar 10 19:02:21 cs219-laptop kernel: [  271.192627] 06:20:a6:57:ff:32 minstrel: tx_rate 36, packet_count 1173
Mar 10 19:02:21 cs219-laptop kernel: [  271.193732] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 1207
