Mar  1 20:58:00 cs219-laptop kernel: [   72.889710] rraac3: 06:20:a6:57:ff:32 : tx_count: 10760, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:58:00 cs219-laptop kernel: [   72.929579] rraac3: 06:20:a6:57:ff:32 : tx_count: 11160, tx_rate: 48M, loss ratio: 39, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   72.934853] rraac3: 06:20:a6:57:ff:32 : tx_count: 11200, tx_rate: 36M, loss ratio: 25, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   72.939446] rraac3: 06:20:a6:57:ff:32 : tx_count: 11240, tx_rate: 24M, loss ratio: 39, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   72.944016] rraac3: 06:20:a6:57:ff:32 : tx_count: 11280, tx_rate: 36M, loss ratio: 16, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   72.949107] rraac3: 06:20:a6:57:ff:32 : tx_count: 11320, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   72.963506] rraac3: 06:20:a6:57:ff:32 : tx_count: 11440, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   72.972406] rraac3: 06:20:a6:57:ff:32 : tx_count: 11520, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   72.990613] rraac3: 06:20:a6:57:ff:32 : tx_count: 11680, tx_rate: 36M, loss ratio: 28, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   72.995461] rraac3: 06:20:a6:57:ff:32 : tx_count: 11720, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   73.000082] rraac3: 06:20:a6:57:ff:32 : tx_count: 11760, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   73.020463] rraac3: 06:20:a6:57:ff:32 : tx_count: 11960, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   73.028309] rraac3: 06:20:a6:57:ff:32 : tx_count: 12040, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   73.040749] rraac3: 06:20:a6:57:ff:32 : tx_count: 12160, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   73.044939] rraac3: 06:20:a6:57:ff:32 : tx_count: 12200, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   73.048954] rraac3: 06:20:a6:57:ff:32 : tx_count: 12240, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   73.054001] rraac3: 06:20:a6:57:ff:32 : tx_count: 12280, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:58:01 cs219-laptop kernel: [   73.057349] rraac3: 06:20:a6:57:ff:32 : tx_count: 12320, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.077146] rraac3: 06:20:a6:57:ff:32 : tx_count: 12400, tx_rate: 36M, loss ratio: 40, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.088201] rraac3: 06:20:a6:57:ff:32 : tx_count: 12480, tx_rate: 48M, loss ratio: 2, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.093172] rraac3: 06:20:a6:57:ff:32 : tx_count: 12520, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.101169] rraac3: 06:20:a6:57:ff:32 : tx_count: 12600, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.108974] rraac3: 06:20:a6:57:ff:32 : tx_count: 12680, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.117861] rraac3: 06:20:a6:57:ff:32 : tx_count: 12760, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.122153] rraac3: 06:20:a6:57:ff:32 : tx_count: 12800, tx_rate: 36M, loss ratio: 37, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.129375] rraac3: 06:20:a6:57:ff:32 : tx_count: 12840, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.143382] rraac3: 06:20:a6:57:ff:32 : tx_count: 12880, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.160706] rraac3: 06:20:a6:57:ff:32 : tx_count: 13000, tx_rate: 48M, loss ratio: 27, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.168880] rraac3: 06:20:a6:57:ff:32 : tx_count: 13040, tx_rate: 36M, loss ratio: 35, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.173128] rraac3: 06:20:a6:57:ff:32 : tx_count: 13080, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.177984] rraac3: 06:20:a6:57:ff:32 : tx_count: 13120, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.190033] rraac3: 06:20:a6:57:ff:32 : tx_count: 13240, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.199201] rraac3: 06:20:a6:57:ff:32 : tx_count: 13320, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.207139] rraac3: 06:20:a6:57:ff:32 : tx_count: 13400, tx_rate: 48M, loss ratio: 20, window size: 40
Mar  1 20:58:02 cs219-laptop kernel: [   73.216258] rraac3: 06:20:a6:57:ff:32 : tx_count: 13480, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.225166] rraac3: 06:20:a6:57:ff:32 : tx_count: 13560, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.233990] rraac3: 06:20:a6:57:ff:32 : tx_count: 13640, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.241903] rraac3: 06:20:a6:57:ff:32 : tx_count: 13720, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.254432] rraac3: 06:20:a6:57:ff:32 : tx_count: 13840, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.258852] rraac3: 06:20:a6:57:ff:32 : tx_count: 13880, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.268898] rraac3: 06:20:a6:57:ff:32 : tx_count: 13960, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.277256] rraac3: 06:20:a6:57:ff:32 : tx_count: 14040, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.282361] rraac3: 06:20:a6:57:ff:32 : tx_count: 14080, tx_rate: 36M, loss ratio: 33, window size: 40
Mar  1 20:58:03 cs219-laptop kernel: [   73.287529] rraac3: 06:20:a6:57:ff:32 : tx_count: 14120, tx_rate: 48M, loss ratio: 4, window size: 40
