Feb 26 17:46:26 cs219-laptop kernel: [ 1328.474585] rraa: 06:20:a6:57:ff:32 : tx_count: 2441, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:26 cs219-laptop kernel: [ 1328.485303] rraa: 06:20:a6:57:ff:32 : tx_count: 2481, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:26 cs219-laptop kernel: [ 1328.492463] rraa: 06:20:a6:57:ff:32 : tx_count: 2521, tx_rate: 48M, loss ratio: 18, window size: 40
Feb 26 17:46:26 cs219-laptop kernel: [ 1328.498745] rraa: 06:20:a6:57:ff:32 : tx_count: 2561, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:26 cs219-laptop kernel: [ 1328.510663] rraa: 06:20:a6:57:ff:32 : tx_count: 2601, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:26 cs219-laptop kernel: [ 1328.529970] rraa: 06:20:a6:57:ff:32 : tx_count: 2641, tx_rate: 48M, loss ratio: 9, window size: 40
Feb 26 17:46:26 cs219-laptop kernel: [ 1328.535658] rraa: 06:20:a6:57:ff:32 : tx_count: 2681, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:26 cs219-laptop kernel: [ 1328.540029] rraa: 06:20:a6:57:ff:32 : tx_count: 2721, tx_rate: 48M, loss ratio: 16, window size: 40
Feb 26 17:46:26 cs219-laptop kernel: [ 1328.553196] rraa: 06:20:a6:57:ff:32 : tx_count: 2761, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:26 cs219-laptop kernel: [ 1328.569321] rraa: 06:20:a6:57:ff:32 : tx_count: 2801, tx_rate: 48M, loss ratio: 6, window size: 40
Feb 26 17:46:26 cs219-laptop kernel: [ 1328.573805] rraa: 06:20:a6:57:ff:32 : tx_count: 2841, tx_rate: 48M, loss ratio: 9, window size: 40
Feb 26 17:46:26 cs219-laptop kernel: [ 1328.579358] rraa: 06:20:a6:57:ff:32 : tx_count: 2881, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:26 cs219-laptop kernel: [ 1328.584554] rraa: 06:20:a6:57:ff:32 : tx_count: 2921, tx_rate: 48M, loss ratio: 9, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.589983] rraa: 06:20:a6:57:ff:32 : tx_count: 2961, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.594800] rraa: 06:20:a6:57:ff:32 : tx_count: 3001, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.599922] rraa: 06:20:a6:57:ff:32 : tx_count: 3041, tx_rate: 48M, loss ratio: 18, window size: 40
Feb 26 17:46:27 cs219-laptop kernel: [ 1328.634300] rraa: 06:20:a6:57:ff:32 : tx_count: 3081, tx_rate: 48M, loss ratio: 21, window size: 40
