output format
<time> <tx rate>

17:46:50 21401, 48M,
17:46:50 21441, 48M,
17:46:50 21481, 48M,
17:46:50 21521, 48M,
17:46:50 21561, 48M,
17:46:50 21601, 48M,
17:46:51 21641, 48M,
17:46:51 21681, 48M,
17:46:51 21721, 48M,
17:46:51 21761, 48M,
17:46:51 21801, 48M,
17:46:51 21841, 48M,
17:46:51 21881, 48M,
17:46:51 21921, 48M,
17:46:51 21961, 48M,
17:46:51 22001, 48M,
17:46:51 22041, 48M,
17:46:51 22081, 48M,
17:46:51 22121, 48M,
17:46:51 22161, 48M,
17:46:51 22201, 48M,
17:46:51 22241, 54M,
17:46:51 22281, 54M,
17:46:51 22321, 54M,
17:46:52 22361, 48M,
17:46:52 22401, 48M,
17:46:52 22441, 48M,
17:46:52 22481, 48M,
17:46:52 22521, 48M,
17:46:52 22561, 54M,
17:46:52 22601, 48M,
17:46:52 22641, 48M,
17:46:52 22681, 48M,
17:46:52 22721, 48M,
17:46:52 22761, 48M,
17:46:52 22801, 54M,
17:46:52 22841, 48M,
17:46:52 22881, 48M,
17:46:52 22921, 48M,
17:46:52 22961, 54M,
17:46:52 23001, 48M,
17:46:52 23041, 54M,
17:46:52 23081, 48M,
17:46:52 23121, 54M,
17:46:52 23161, 48M,
17:46:53 23201, 48M,
17:46:53 23241, 48M,
17:46:53 23281, 48M,
17:46:53 23321, 48M,
17:46:53 23361, 48M,
17:46:53 23401, 48M,
17:46:53 23441, 48M,
17:46:53 23481, 48M,
17:46:53 23521, 54M,
17:46:53 23561, 54M,
17:46:53 23601, 48M,
17:46:53 23641, 48M,
17:46:53 23681, 48M,
17:46:53 23721, 48M,
17:46:53 23761, 48M,
17:46:53 23801, 48M,
17:46:53 23841, 48M,
17:46:53 23881, 48M,
17:46:53 23921, 48M,
17:46:53 23961, 48M,
17:46:53 24001, 48M,
17:46:54 24041, 54M,
17:46:54 24081, 54M,
17:46:54 24121, 48M,
17:46:54 24161, 48M,
17:46:54 24201, 48M,
17:46:54 24241, 48M,
17:46:54 24281, 48M,
17:46:54 24321, 48M,
17:46:54 24361, 48M,
17:46:54 24401, 48M,
17:46:54 24441, 48M,
17:46:54 24481, 48M,
17:46:54 24521, 48M,
17:46:54 24561, 48M,
17:46:54 24601, 48M,
17:46:54 24641, 48M,
